Rody Duterte,DUTERTE,President
Jojo Binay,BINAY,President
Grace Poe,POE,President
Mar Roxas,ROXAS,President
Miriam Santiago,SANTIAGO,President
Alan Peter Cayetano,CAYETANO,Vice-President
Chiz Escudero,ESCUDERO,Vice-President
Gringo Honasan,HONASAN,Vice-President
Bong-bong Marcos,MARCOS,Vice-President
Leni Robredo,ROBREDO,Vice-President
Sonny Trillanes,TRILLANES,Vice-President
Richard Balanzag,BALANZAG,Governor of Cavite
Bong Berado,BERADO,Governor of Cavite
Obet Borral,BORRAL,Governor of Cavite
Boying Remulla,REMULLA1,Governor of Cavite
Irene Bencito,BENCITO1,Vice-Governor of Cavite
Eddie de Asis,DEASIS,Vice-Governor of Cavite
Ramon Revilla,REVILLA1,Vice-Governor of Cavite
Severina Saulog,SAULOG,Vice-Governor of Cavite
Boyblue Abaya,ABAYA1,Congressman of First District
Mommy Marina Granados,GRANADOS,Congressman of First District
Mark Orline Buena,BUENA,Congressman of Second District
Strike Revilla,REVILLA2,Congressman of Second District
AA Advincula,ADVINCULA,Congressman of Third District
Jenny Barzaga,BARZAGA1,Congressman of Fourth District
Alen Manzano,MANZANO,Congressman of Fourth District
Roy Loyola,LOYOLA1,Congressman of Fifth District
Ruben Madlansacay,MADLANSACAY,Congressman of Fifth District
Luis Ferrer IV,FERRER1,Congressman of Sixth District
Bambol Tolentino,TOLENTINO1,Congressman of Seventh District
Raul Rodis,RODIS,Mayor of Alfonso
Antonia Varias,VARIAS1,Mayor of Alfonso
Virgilio Varias,VARISA2,Mayor of Alfonso
Justiniano de Castro,DECASTRO,Vice-Mayor of Alfonso
Manolito Credo,CREDO,Vice-Mayor of Alfonso
Randy Salamat,SALAMAT,Vice-Mayor of Alfonso
Albert Ambagan,AMBAGAN,Mayor of Amadeo
Elpidio Bawalan,BAWALAN,Mayor of Amadeo
August Bayas,BAYAS,Mayor of Amadeo
Benjarde Villanueva,VILLANUEVA,Mayor of Amadeo
Augusto Bebe,BEBE,Vice-Mayor of Amadeo
Joel Iyaya,IYAYA,Vice-Mayor of Amadeo
Rene Tongson,TONGSON,Vice-Mayor of Amadeo
Rading Viado,VIADO,Vice-Mayor of Amadeo
Edwin Malvar,MALVAR,Mayor of Bacoor
Lani Mercado-Revilla,MERCADO-REVILLA,Mayor of Bacoor
Andoy Remulla,REMULLA2,Mayor of Bacoor
Jun Del Rosario,DELROSARIO,Vice-Mayor of Bacoor
Allen Reyes,REYES1,Vice-Mayor of Bacoor
Karen Sarino-Evaristo,SARINO-EVARISTO,Vice-Mayor of Bacoor
Rosa Atienza,ATIENZA,Mayor of Carmona
Jose Carpio ,CARPIO,Mayor of Carmona
Dahlia Loyola,LOYOLA2,Mayor of Carmona
Itoy Reyes,REYES2,Vice-Mayor of Carmona
Lolita Tenedero,TENEDERO,Vice-Mayor of Carmona
Victor Borromeo,BORROMEO,Mayor of Cavite City
Penchie Consigo,CONSIGO,Mayor of Cavite City
Totie Paredes,PAREDES,Mayor of Cavite City
Denver Chua,CHUA1,Vice-Mayor of Cavite City
Obet De Leon,LEON,Vice-Mayor of Cavite City
Pidi Barzaga,BARZAGA2,Mayor of Dasmarinas City
Amado Beltran,BELTRAN,Mayor of Dasmarinas City
Wilihardo Campos,CAMPOS,Mayor of Dasmarinas City
Arnel Del Rosario,ROSARIO,Mayor of Dasmarinas City
Willy Gatus,GATUS,Mayor of Dasmarinas City
Jigz Padillo,PADILLO,Mayor of Dasmarinas City
Jess Frani,FRANI,Vice-Mayor of Dasmarinas City
