President, 1
Vice-President, 2
Governor of Cavite, 3
Vice-Governor of Cavite, 4
Congressman of Tagaytay City, 5
Mayor of Alfonso, 6
Vice-Mayor of Alfonso, 7
Mayor of Amadeo, 6
Vice-Mayor of Amadeo, 7
Mayor of Bacoor, 6
Vice-Mayor of Bacoor, 7
Mayor of Carmona, 6
Vice-Mayor of Carmona, 7
Mayor of Cavite City, 6
Vice-Mayor of Cavite City, 7
Mayor of City of Dasmariñas, 6
Vice-Mayor of City of Dasmariñas, 7
Mayor of General Emilio Aguinaldo, 6
Vice-Mayor of General Emilio Aguinaldo, 7
Mayor of Gen. Mariano Alvarez, 6
Vice-Mayor of Gen. Mariano Alvarez, 7
Mayor of General Trias, 6
Vice-Mayor of General Trias, 7
Mayor of Imus, 6
Vice-Mayor of Imus, 7
Mayor of Indang, 6
Vice-Mayor of Indang, 7
Mayor of Kawit, 6
Vice-Mayor of Kawit, 7
Mayor of Magallanes, 6
Vice-Mayor of Magallanes, 7
Mayor of Maragondon, 6
Vice-Mayor of Maragondon, 7
Mayor of Mendez, 6
Vice-Mayor of Mendez, 7
Mayor of Naic, 6
Vice-Mayor of Naic, 7
Mayor of Noveleta, 6
Vice-Mayor of Noveleta, 7
Mayor of Rosario, 6
Vice-Mayor of Rosario, 7
Mayor of Silang, 6
Vice-Mayor of Silang, 7
Mayor of Tagaytay City, 6
Vice-Mayor of Tagaytay City, 7
Mayor of Tanza, 6
Vice-Mayor of Tanza, 7
Mayor of Trece Martirez City, 6
Vice-Mayor of Trece Martirez City, 7
